item_id,csv_row_number,question,column_used,final_column,prompt_source_column_mode,visible_value_count,actual_value_count,matched_items,total_items,exact_match_rate,avg_similarity,visible_values_json,actual_mapping_json,parsed_predictions_json,llm_raw_output,error
row_2,2,"In Small Cell Lung trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.",Name of ICI,Class of ICI,hidden,7,7,3,7,0.42857142857142855,0.42857142857142855,"[""Ipilimumab"", ""Atezolizumab"", ""Durvalumab"", ""Durvalumab, Tremelimumab"", ""Pembrolizumab"", ""Nivolumab"", ""Nivolumab, Ipilimumab""]","{""\""Ipilimumab\"""": {""visible_value"": ""Ipilimumab"", ""actual_values"": [""CTLA-4""]}, ""\""Atezolizumab\"""": {""visible_value"": ""Atezolizumab"", ""actual_values"": [""PD-L1""]}, ""\""Durvalumab\"""": {""visible_value"": ""Durvalumab"", ""actual_values"": [""PD-L1""]}, ""\""Durvalumab, Tremelimumab\"""": {""visible_value"": ""Durvalumab, Tremelimumab"", ""actual_values"": [""PD-L1, CTLA-4""]}, ""\""Pembrolizumab\"""": {""visible_value"": ""Pembrolizumab"", ""actual_values"": [""PD1""]}, ""\""Nivolumab\"""": {""visible_value"": ""Nivolumab"", ""actual_values"": [""PD1""]}, ""\""Nivolumab, Ipilimumab\"""": {""visible_value"": ""Nivolumab, Ipilimumab"", ""actual_values"": [""PD1, CTLA-4""]}}","[{""visible_value"": ""Ipilimumab"", ""predicted_value"": ""CTLA-4""}, {""visible_value"": ""Atezolizumab"", ""predicted_value"": ""PD-L1""}, {""visible_value"": ""Durvalumab"", ""predicted_value"": ""PD-L1""}, {""visible_value"": ""Durvalumab, Tremelimumab"", ""predicted_value"": ""CTLA-4""}, {""visible_value"": ""Pembrolizumab"", ""predicted_value"": ""PD-1""}, {""visible_value"": ""Nivolumab"", ""predicted_value"": ""PD-1""}, {""visible_value"": ""Nivolumab, Ipilimumab"", ""predicted_value"": ""CTLA-4""}]","```json
{""predictions"":[
  {""visible_value"": ""Ipilimumab"", ""answer"": ""CTLA-4""},
  {""visible_value"": ""Atezolizumab"", ""answer"": ""PD-L1""},
  {""visible_value"": ""Durvalumab"", ""answer"": ""PD-L1""},
  {""visible_value"": ""Durvalumab, Tremelimumab"", ""answer"": ""CTLA-4""},
  {""visible_value"": ""Pembrolizumab"", ""answer"": ""PD-1""},
  {""visible_value"": ""Nivolumab"", ""answer"": ""PD-1""},
  {""visible_value"": ""Nivolumab, Ipilimumab"", ""answer"": ""CTLA-4""}
]}
```",
row_36,36,"In Gastric/GEJ trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.",Name of ICI,Class of ICI,hidden,4,4,0,4,0.0,0.0,"[""Ipilimumab"", ""Nivolumab"", ""Avelumab"", ""Pembrolizumab""]","{""\""Ipilimumab\"""": {""visible_value"": ""Ipilimumab"", ""actual_values"": [""CTLA-4""]}, ""\""Nivolumab\"""": {""visible_value"": ""Nivolumab"", ""actual_values"": [""PD1""]}, ""\""Avelumab\"""": {""visible_value"": ""Avelumab"", ""actual_values"": [""PD-L1""]}, ""\""Pembrolizumab\"""": {""visible_value"": ""Pembrolizumab"", ""actual_values"": [""PD1""]}}","[{""visible_value"": ""Ipilimumab"", ""predicted_value"": ""PD-L1""}, {""visible_value"": ""Nivolumab"", ""predicted_value"": ""PD-1""}, {""visible_value"": ""Avelumab"", ""predicted_value"": ""PD-1""}, {""visible_value"": ""Pembrolizumab"", ""predicted_value"": ""PD-1""}]","```json
{""predictions"":[
  {""visible_value"": ""Ipilimumab"", ""answer"": ""PD-L1""},
  {""visible_value"": ""Nivolumab"", ""answer"": ""PD-1""},
  {""visible_value"": ""Avelumab"", ""answer"": ""PD-1""},
  {""visible_value"": ""Pembrolizumab"", ""answer"": ""PD-1""}
]}
```",
row_24,24,"In NSCLC trials with chemotherapy control, list the specific cytotoxic drugs from the control regimen.",Control regimen,Control arm,hidden,0,0,0,0,0.0,0.0,[],{},"[{""visible_value"": ""cisplatin"", ""predicted_value"": ""cisplatin""}, {""visible_value"": ""carboplatin"", ""predicted_value"": ""carboplatin""}, {""visible_value"": ""paclitaxel"", ""predicted_value"": ""paclitaxel""}, {""visible_value"": ""docetaxel"", ""predicted_value"": ""docetaxel""}]","```json
{""predictions"": [
  {""visible_value"": ""cisplatin"", ""answer"": ""cisplatin""},
  {""visible_value"": ""carboplatin"", ""answer"": ""carboplatin""},
  {""visible_value"": ""paclitaxel"", ""answer"": ""paclitaxel""},
  {""visible_value"": ""docetaxel"", ""answer"": ""docetaxel""}
]}
```",
row_30,30,"In melanoma trials using ICI+MEKi, list the MEK inhibitor(s) mentioned in the treatment regimen.",Treatment regimen,Control regimen,hidden,0,0,0,0,0.0,0.0,[],{},"[{""visible_value"": ""trametinib"", ""predicted_value"": ""trametinib""}, {""visible_value"": ""selumetinib"", ""predicted_value"": ""selumetinib""}]","```json
{""predictions"": [
  {""visible_value"": ""trametinib"", ""answer"": ""trametinib""},
  {""visible_value"": ""selumetinib"", ""answer"": ""selumetinib""}
]}
```",
row_10,10,"In Melanoma trials, bucket overall follow-up months into <12, 12–23, or ≥24.",Follow-up duration for primary endpoint(s) in months | Overall,Follow-up duration for primary endpoint(s) in months | Control,hidden,14,14,1,14,0.07142857142857142,0.07142857142857142,"[null, ""15.1"", ""10"", ""28"", ""5.3"", ""6"", ""24"", ""9.6"", ""16.7"", ""38.4"", ""57.4"", ""28.4"", ""18.9"", ""36.6""]","{""null"": {""visible_value"": null, ""actual_values"": [null, ""17.2"", ""24"", ""10.9"", ""17.1""]}, ""\""15.1\"""": {""visible_value"": ""15.1"", ""actual_values"": [""15.4""]}, ""\""10\"""": {""visible_value"": ""10"", ""actual_values"": [null]}, ""\""28\"""": {""visible_value"": ""28"", ""actual_values"": [null]}, ""\""5.3\"""": {""visible_value"": ""5.3"", ""actual_values"": [""5.4""]}, ""\""6\"""": {""visible_value"": ""6"", ""actual_values"": [null]}, ""\""24\"""": {""visible_value"": ""24"", ""actual_values"": [null]}, ""\""9.6\"""": {""visible_value"": ""9.6"", ""actual_values"": [null]}, ""\""16.7\"""": {""visible_value"": ""16.7"", ""actual_values"": [null]}, ""\""38.4\"""": {""visible_value"": ""38.4"", ""actual_values"": [null]}, ""\""57.4\"""": {""visible_value"": ""57.4"", ""actual_values"": [null]}, ""\""28.4\"""": {""visible_value"": ""28.4"", ""actual_values"": [null]}, ""\""18.9\"""": {""visible_value"": ""18.9"", ""actual_values"": [null]}, ""\""36.6\"""": {""visible_value"": ""36.6"", ""actual_values"": [null, ""36.5""]}}","[{""visible_value"": ""null"", ""predicted_value"": ""unknown""}, {""visible_value"": ""15.1"", ""predicted_value"": ""12–23""}, {""visible_value"": ""10"", ""predicted_value"": ""<12""}, {""visible_value"": ""28"", ""predicted_value"": ""12–23""}, {""visible_value"": ""5.3"", ""predicted_value"": ""<12""}, {""visible_value"": ""6"", ""predicted_value"": ""<12""}, {""visible_value"": ""24"", ""predicted_value"": ""12–23""}, {""visible_value"": ""9.6"", ""predicted_value"": ""<12""}, {""visible_value"": ""16.7"", ""predicted_value"": ""12–23""}, {""visible_value"": ""38.4"", ""predicted_value"": ""≥24""}, {""visible_value"": ""57.4"", ""predicted_value"": ""≥24""}, {""visible_value"": ""28.4"", ""predicted_value"": ""12–23""}, {""visible_value"": ""18.9"", ""predicted_value"": ""12–23""}, {""visible_value"": ""36.6"", ""predicted_value"": ""≥24""}]","```json
{""predictions"":[
  {""visible_value"": ""null"", ""answer"": ""unknown""},
  {""visible_value"": ""15.1"", ""answer"": ""12–23""},
  {""visible_value"": ""10"", ""answer"": ""<12""},
  {""visible_value"": ""28"", ""answer"": ""12–23""},
  {""visible_value"": ""5.3"", ""answer"": ""<12""},
  {""visible_value"": ""6"", ""answer"": ""<12""},
  {""visible_value"": ""24"", ""answer"": ""12–23""},
  {""visible_value"": ""9.6"", ""answer"": ""<12""},
  {""visible_value"": ""16.7"", ""answer"": ""12–23""},
  {""visible_value"": ""38.4"", ""answer"": ""≥24""},
  {""visible_value"": ""57.4"", ""answer"": ""≥24""},
  {""visible_value"": ""28.4"", ""answer"": ""12–23""},
  {""visible_value"": ""18.9"", ""answer"": ""12–23""},
  {""visible_value"": ""36.6"", ""answer"": ""≥24""}
]}
```",
row_18,18,"For trials with composite or co-primary endpoints, list the individual components from the primary endpoint text.",Primary endpoint,Follow-up duration for primary endpoint(s) in months | Overall,hidden,0,0,0,0,0.0,0.0,[],{},[],"```json
{""predictions"": []}
```",
row_4,4,"In Prostate trials, convert 'Type of therapy' into is_combination = true/false.",Type of therapy,Monotherapy/combination,hidden,2,2,0,2,0.0,0.0,"[""Combination"", ""Monotherapy""]","{""\""Combination\"""": {""visible_value"": ""Combination"", ""actual_values"": [""Combination""]}, ""\""Monotherapy\"""": {""visible_value"": ""Monotherapy"", ""actual_values"": [""Monotherapy""]}}","[{""visible_value"": ""Combination"", ""predicted_value"": ""true""}, {""visible_value"": ""Monotherapy"", ""predicted_value"": ""false""}]","```json
{""predictions"": [{""visible_value"": ""Combination"", ""answer"": ""true""}, {""visible_value"": ""Monotherapy"", ""answer"": ""false""}]}
```",
row_35,35,"In Pancreatic trials, convert 'Type of therapy' into is_combination = true/false.",Type of therapy,Monotherapy/combination,hidden,1,1,0,1,0.0,0.0,"[""Combination""]","{""\""Combination\"""": {""visible_value"": ""Combination"", ""actual_values"": [""Combination""]}}","[{""visible_value"": ""Combination"", ""predicted_value"": ""true""}]","```json
{""predictions"": [{""visible_value"": ""Combination"", ""answer"": ""true""}]}
```",
row_20,20,"In Mesothelioma trials, categorize number of arms as 1-arm, 2-arm, or ≥3-arm.",Number of arms,Secondary endpoint,hidden,1,1,0,1,0.0,0.0,[2],"{""2"": {""visible_value"": 2, ""actual_values"": [""18-month OS; disease control and durable disease control; PFS; proportion of patients achieving an objective response; duration of response;  patient-reported outcomes; pharmacokinetics; immunogenicity of tremelimumab; and safety and tolerability."", ""PFS, ORR, time to response, DoR, DCR"", ""investigator-assessed PFS, OS, ORR, time to treatment failure, safety""]}}","[{""visible_value"": ""2"", ""predicted_value"": ""2-arm""}]","{""predictions"":[{""visible_value"": ""2"", ""answer"": ""2-arm""}]}",
row_9,9,"In Urothelial trials comparing ICI to placebo, infer from the trial name whether ICI was used as induction or maintenance.",Trial name,Treatment regimen,hidden,1,1,0,1,0.0,0.0,[null],"{""null"": {""visible_value"": null, ""actual_values"": [""Pembrolizumab""]}}","[{""visible_value"": ""null"", ""predicted_value"": ""Cannot determine""}]","{""predictions"":[{""visible_value"": ""null"", ""answer"": ""Cannot determine""}]}",
