row_index,NCT,PubMed ID,Trial name,source_value,is_follow_up,derived_expected_llm_response,table_row_id
1,NCT00527735,22858559,,Original publication,false,"{""is_follow_up"": false}",25
2,NCT00527735,22858559,,Original publication,false,"{""is_follow_up"": false}",26
3,NCT01450761,27458307,CA184-156,Original publication,false,"{""is_follow_up"": false}",32
4,NCT02763579,30280641,IMPower 133,Original publication,false,"{""is_follow_up"": false}",43
5,NCT03059667,30664989,IFCT-1603,Original publication,false,"{""is_follow_up"": false}",53
6,NCT03043872,31590988,CASPIAN,Original publication,false,"{""is_follow_up"": false}",82
7,NCT03043872,31590988,CASPIAN,Original publication,false,"{""is_follow_up"": false}",83
8,NCT02763579,31959349,IMpower133,Follow-up,true,"{""is_follow_up"": true}",87
9,NCT03066778,32468956,KEYNOTE-604,Original publication,false,"{""is_follow_up"": false}",98
10,NCT03043872,33285097,CASPIAN,Follow-up,true,"{""is_follow_up"": true}",137
11,NCT03043872,33285097,CASPIAN,Follow-up,true,"{""is_follow_up"": true}",138
12,NCT02481830,33539946,CheckMate 331,Original publication,false,"{""is_follow_up"": false}",147
13,NCT02538666,33683919,CheckMate 451,Original publication,false,"{""is_follow_up"": false}",149
14,NCT02538666,33683919,CheckMate 451,Original publication,false,"{""is_follow_up"": false}",150
