row_index,NCT,Trial name,Is any other biomarker used for inclusion
1,NCT01668784,CheckMate 025,False
2,NCT01984242,IMmotion150,True
3,NCT01984242,IMmotion150,True
4,NCT02231749,CheckMate 214,False
5,NCT02231749,CheckMate 214,False
6,NCT02684006,JAVELIN Renal 101,True
7,NCT02853331,KEYNOTE-426,False
8,NCT02420821,IMmotion151,True
9,NCT02231749,CheckMate 214,False
10,NCT01668784,CheckMate 025,False
11,NCT02684006,JAVELIN Renal 101,True
12,NCT02853331,Keynote-426,False
13,NCT02811861,CLEAR,True
14,NCT03141177,CheckMate 9ER,False
