row_index,NCT,Trial name,Type of therapy,Monotherapy/combination
1,NCT00527735,,Combination,Combination
2,NCT00527735,,Combination,Combination
3,NCT01450761,CA184-156,Combination,Combination
4,NCT02763579,IMPower 133,Combination,Combination
5,NCT03059667,IFCT-1603,Monotherapy,Monotherapy
6,NCT03043872,CASPIAN,Combination,Combination
7,NCT03043872,CASPIAN,Combination,Combination
8,NCT02763579,IMpower133,Combination,Combination
9,NCT03066778,KEYNOTE-604,Combination,Combination
10,NCT03043872,CASPIAN,Combination,Combination
11,NCT03043872,CASPIAN,Combination,Combination
12,NCT02481830,CheckMate 331,Monotherapy,Monotherapy
13,NCT02538666,CheckMate 451,Combination,Combination
14,NCT02538666,CheckMate 451,Monotherapy,Monotherapy
