row_index,NCT,PubMed ID,Trial name,source_value,combo_type_norm,derived_expected_llm_response,table_row_id
1,NCT01984242,29867230,IMmotion150,ICI+Chemo,ICI+Chemo,"{""combo_type_norm"": ""ICI+Chemo""}",17
2,NCT02231749,29562145,CheckMate 214,ICI+ICI,ICI+ICI,"{""combo_type_norm"": ""ICI+ICI""}",18
3,NCT02231749,31427204,CheckMate 214,ICI+ICI,ICI+ICI,"{""combo_type_norm"": ""ICI+ICI""}",19
4,NCT02684006,30779531,JAVELIN Renal 101,ICI+TKI,ICI+TKI,"{""combo_type_norm"": ""ICI+TKI""}",20
5,NCT02853331,30779529,KEYNOTE-426,ICI+TKI,ICI+TKI,"{""combo_type_norm"": ""ICI+TKI""}",21
6,NCT02420821,31079938,IMmotion151,ICI+Anti-VEGF,ICI+Anti-VEGF,"{""combo_type_norm"": ""ICI+Anti-VEGF""}",22
7,NCT02231749,32661118,CheckMate 214,ICI+ICI,ICI+ICI,"{""combo_type_norm"": ""ICI+ICI""}",101
8,NCT02684006,32339648,JAVELIN Renal 101,ICI+TKI,ICI+TKI,"{""combo_type_norm"": ""ICI+TKI""}",115
9,NCT02853331,33284113,Keynote-426,ICI+TKI,ICI+TKI,"{""combo_type_norm"": ""ICI+TKI""}",131
10,NCT02811861,33616314,CLEAR,ICI+TKI,ICI+TKI,"{""combo_type_norm"": ""ICI+TKI""}",145
11,NCT03141177,33657295,CheckMate 9ER,ICI+TKI,ICI+TKI,"{""combo_type_norm"": ""ICI+TKI""}",148
