row_index,NCT,PubMed ID,Trial name,source_value,pd_l1_required,derived_expected_llm_response
1,NCT00324155,21639810,,No,false,"{""pd_l1_required"": false}"
2,NCT00094653,20525992,MDX010-20,No,false,"{""pd_l1_required"": false}"
3,NCT00094653,20525992,MDX010-20,No,false,"{""pd_l1_required"": false}"
4,NCT00257205,23295794,,No,false,"{""pd_l1_required"": false}"
5,NCT02362594,29658430,EORTC 1325-MG/KEYNOTE-054,No,false,"{""pd_l1_required"": false}"
6,NCT01704287,26115796,KEYNOTE-002,No,false,"{""pd_l1_required"": false}"
7,NCT01704287,26115796,KEYNOTE-002,No,false,"{""pd_l1_required"": false}"
8,NCT01704287,28961465,KEYNOTE-002,No,false,"{""pd_l1_required"": false}"
9,NCT01704287,28961465,KEYNOTE-002,No,false,"{""pd_l1_required"": false}"
10,NCT00636168,27717298,,No,false,"{""pd_l1_required"": false}"
11,NCT01721746,25795410,CheckMate 037,No,false,"{""pd_l1_required"": false}"
12,NCT01721746,28671856,CheckMate 037,No,false,"{""pd_l1_required"": false}"
13,NCT02130466,31171878,KEYNOTE-022,No,false,"{""pd_l1_required"": false}"
14,NCT01721772,25399552,CheckMate 066,No,false,"{""pd_l1_required"": false}"
15,NCT01721772,30422243,CheckMate 066,No,false,"{""pd_l1_required"": false}"
16,NCT01274338,31880964,E1609,No,false,"{""pd_l1_required"": false}"
17,NCT01274338,31880964,E1609,No,false,"{""pd_l1_required"": false}"
18,NCT02523313,32416781,IMMUNED,No,false,"{""pd_l1_required"": false}"
19,NCT02523313,32416781,IMMUNED,No,false,"{""pd_l1_required"": false}"
20,NCT02908672,32534646,IMspire150,No,false,"{""pd_l1_required"": false}"
21,NCT00094653,23942774,MDX010-20,No,false,"{""pd_l1_required"": false}"
22,NCT00094653,23942774,MDX010-20,No,false,"{""pd_l1_required"": false}"
23,NCT01721772,32997575,CheckMate 066,No,false,"{""pd_l1_required"": false}"
24,NCT02130466,33361337,KEYNOTE-022,No,false,"{""pd_l1_required"": false}"
25,NCT02362594,32946353,EORTC 1325-MG/KEYNOTE-054,No,false,"{""pd_l1_required"": false}"
26, NCT00636168,25840693,,No,false,"{""pd_l1_required"": false}"
